date,product_id,sales,price,promo,marketing_spend,sales_roll_mean_7,sales_roll_std_7
2023-01-01,P001,170.76178079705403,12.9,33,129.5,170.76178079705403,0.0
2023-01-02,P001,129.87045653275757,12.71,0,173.4,150.3161186649058,28.914532678982027
2023-01-03,P001,104.73385685324294,12.61,0,166.25,135.12203139435152,33.32575526492413
2023-01-04,P001,140.6880370307266,12.69,0,150.91,136.5135328034453,27.352313991162045
2023-01-05,P001,132.26027429332493,12.57,0,72.53,135.66288110142122,23.764045364670583
2023-01-06,P001,141.1704819292063,12.56,0,149.72,136.58081457271874,21.37380389218697
2023-01-07,P001,111.58568139441634,12.48,0,158.1,133.01008126153266,21.678342464512486
2023-01-08,P001,146.96045456707068,12.74,0,127.57,129.60989180010648,15.854527591934849
2023-01-09,P001,90.03303138043191,12.77,0,102.84,123.91883106405996,21.785848050089193
2023-01-10,P001,114.23069067224012,12.55,0,179.57,125.27552160963099,20.658539863279522
2023-01-11,P001,114.51845392634884,12.74,0,33.78,121.53700973757702,19.752574482461092
2023-01-12,P001,142.53825872351828,12.67,0,10.09,123.00529322760465,21.023630567761778
2023-01-13,P001,116.65381519593257,12.75,0,51.08,119.50291226570842,19.478444236747997
2023-01-14,P001,143.27602116809703,12.54,0,214.48,124.03010366194849,20.958167333813506
2023-01-15,P001,135.76234577311055,12.59,0,6.57,122.43037383423992,19.276061283467758
2023-01-16,P001,84.72182517759299,12.68,0,137.35,121.67163009097719,20.80751559280862
2023-01-17,P001,107.14704061185289,12.8,0,154.16,120.65968008235045,21.393706439176214
2023-01-18,P001,125.3817005774482,12.72,0,95.64,122.21157246107893,21.26761340789
2023-01-19,P001,155.82452025847067,12.6,0,16.15,124.10960982321498,23.823330808358385
2023-01-20,P001,141.14925532872073,12.3,0,178.15,127.60895841361331,24.339094431100275
2023-01-21,P001,97.13099202861682,12.54,0,124.51,121.01681139368756,25.604699665106825
2023-01-22,P001,95.96795098991764,12.69,0,147.35,115.33189785323142,26.196026413998695
2023-01-23,P001,114.54494389363536,12.54,0,60.23,119.59234338409462,22.56093147372982
2023-01-24,P001,209.8139709678898,12.75,0,168.09,134.2590477206713,39.86068402129755
2023-01-25,P001,123.87293845225528,12.57,0,8.53,134.04351027421518,39.92072052325035
2023-01-26,P001,105.36403188381,12.58,0,215.35,126.83486907783508,39.888035156959894
2023-01-27,P001,139.24560007642285,12.78,0,47.76,126.56291832750682,39.78052073943299
2023-01-28,P001,158.665301369066,12.49,0,94.14,135.35353394757098,38.98362740140281
2023-01-29,P001,137.0570861960185,12.53,0,47.96,141.22341040558538,34.949556578376786
2023-01-30,P001,102.89027479466674,12.7,0,48.0,139.5584576771613,36.667681654220594
2023-01-31,P001,124.27361411658572,12.59,18,119.26,127.33840669840359,19.662125354918068
2023-02-01,P001,157.983570291574,12.62,0,89.23,132.21135410402056,22.65867128862894
2023-02-02,P001,94.11064611674256,12.63,0,159.84,130.60372756586804,25.14387368899774
2023-02-03,P001,117.99845939482448,12.85,0,185.8,127.56842175421114,25.20914371186551
2023-02-04,P001,127.1892278826285,12.46,0,112.18,123.07183982757722,21.231261083458534
2023-02-05,P001,108.87000520213414,12.74,0,206.36,119.04511397130803,20.80545611955147
2023-02-06,P001,99.34965373663422,12.63,0,64.98,118.53931096301767,21.300796128727182
2023-02-07,P001,107.59558751589992,12.6,0,114.36,116.15673573434825,21.484450545660863
2023-02-08,P001,113.58974837348032,12.65,0,8.39,109.81476117462059,11.143387705371701
2023-02-09,P001,92.65776650068278,12.65,0,74.0,109.60720694375492,11.49269494427208
2023-02-10,P001,127.08066382153008,12.57,0,150.13,110.90466471899856,13.01036140482326
2023-02-11,P001,149.431316102242,12.75,0,106.04,114.08210589322906,18.991489171777893
2023-02-12,P001,109.53915215630616,12.63,0,217.99,114.17769831525365,18.96254393725611
2023-02-13,P001,126.59480820567563,12.53,0,207.15,118.0698632394024,18.192212220535854
2023-02-14,P001,97.31355497585804,12.74,0,39.9,116.60100144796786,19.543756500585452
2023-02-15,P001,94.62245521125529,12.77,0,36.34,113.89138813907857,21.269482553413578
2023-02-16,P001,100.5376215550974,12.87,0,11.22,115.01708171828065,20.13674675974619
2023-02-17,P001,112.45919558331002,12.66,0,132.41,112.92830054139209,19.422509025526967
2023-02-18,P001,165.40577779073612,12.47,0,201.74,115.21036649689124,24.65888561730197
2023-02-19,P001,142.132193485331,12.79,0,67.56,119.8665152581805,26.423562359539797
2023-02-20,P001,161.44983594926748,12.51,0,91.32,124.84580493583647,30.82092698276968
2023-02-21,P001,151.2497283352941,12.65,0,199.87,132.55097255861307,29.504610845378682
2023-02-22,P001,129.71193244109858,12.58,0,113.7,137.56375502001924,24.55172828745393
2023-02-23,P001,149.98810461703772,12.52,0,78.01,144.62810974315357,18.48791642024879
