date,sales,promo,product_id,price,marketing_spend
2023-08-18,93.10148390691982,0,P006,37.07,149.72
2023-12-28,195.02244121492626,0,P009,11.09,44.24
2024-10-11,165.38374455442542,0,P009,11.51,125.77
2023-08-14,87.41600167156079,0,P006,38.24,74.83
2023-11-15,40.86452241365747,0,P002,17.84,228.44
2023-06-07,119.39570985754388,0,P010,11.28,750.19
2023-01-08,160.01482884233718,0,P003,20.01,319.57
2024-07-21,167.39334453432278,0,P007,8.23,610.32
2023-03-14,165.0423394236409,0,P009,11.56,96.28
2024-02-05,113.75173596056567,0,P001,12.56,55.44
2023-10-21,37.95400082143773,0,P002,17.84,891.48
2023-04-21,92.83583617089894,0,P006,37.3,38.92
2024-04-29,108.84581410457788,0,P008,42.45,84.1
2024-01-21,212.94283856708557,0,P003,19.98,308.3
2023-08-28,76.90127396174888,0,P005,31.63,298.67
2023-08-25,88.84356358891512,0,P008,43.17,28.35
2024-11-29,93.91499297066616,0,P006,37.15,88.68
2024-02-08,170.90881356481063,0,P007,8.14,567.65
2023-07-17,87.25756914318818,0,P005,31.45,334.8
2023-09-24,88.71093000225873,0,P005,31.51,516.09
2023-08-14,210.4648870378164,0,P003,20.02,27.54
2023-04-02,159.01557957956487,0,P007,8.07,834.55
2024-08-25,102.20565759512598,0,P008,42.72,283.18
2023-04-05,94.10666953022015,0,P008,42.91,501.7
2023-11-06,96.18989999137035,0,P006,37.17,137.67
2024-10-25,154.6115539878048,0,P007,8.08,282.9
2024-06-05,115.1190321988313,0,P008,43.39,323.22
2024-07-04,148.5769686875622,0,P007,8.3,187.6
2024-02-19,111.63665686707593,0,P004,28.51,663.16
2023-03-03,49.678134058061275,0,P002,18.2,31.14
2024-05-29,66.49259887115983,0,P002,17.78,663.69
2023-10-23,147.39945273442572,0,P007,8.05,596.66
2023-09-03,102.57382561698512,0,P001,12.71,210.2
2023-09-10,44.00813600048203,0,P002,18.15,601.86
2024-04-08,141.17205223543203,0,P001,12.54,47.28
2024-09-11,113.11299372063552,0,P001,12.67,178.34
2024-08-17,51.14794662331184,0,P002,18.19,645.21
2023-09-26,99.11424731703855,0,P004,28.03,734.79
2024-10-05,158.36435998383004,0,P007,8.15,161.59
2024-11-10,58.614933818471165,0,P002,17.66,770.5
2024-10-16,97.76910171992779,0,P004,28.17,192.04
2024-06-09,72.27231357491175,0,P010,11.3,746.81
2023-11-18,152.96274613443123,0,P007,8.23,24.43
2024-03-28,110.38088281020046,0,P006,36.96,111.72
2023-05-08,76.73986944413807,0,P010,11.43,726.15
2024-12-06,89.21227274086948,0,P008,42.8,286.34
2023-04-27,116.88700711309176,0,P004,28.62,577.92
2023-11-02,104.63330565950167,0,P006,36.37,21.39
2024-05-29,124.06456356079643,0,P008,43.2,419.63
2023-12-23,152.212293893443,0,P007,8.14,757.0
2024-09-18,202.1615587587238,0,P003,19.98,367.04
2024-08-05,178.92614351555605,0,P009,11.24,18.89
2023-09-23,134.67500557013835,0,P007,8.23,530.2
2024-06-08,85.78437755747763,0,P010,11.24,735.27
2023-02-09,129.98096099438885,0,P007,8.17,500.69
2024-07-27,160.17323694662704,0,P007,8.25,711.9
2024-11-20,112.92622064501451,0,P008,42.95,192.21
2024-02-06,209.82675278568433,0,P003,19.72,147.19
2023-07-23,141.59330406165853,0,P009,11.28,27.24
2023-07-11,176.8650692124533,0,P009,11.33,18.26
2024-09-18,85.69708069668852,0,P005,31.82,521.57
2024-05-03,110.31058706899279,0,P008,42.49,385.79
2023-10-19,192.88632423165495,0,P003,19.89,8.01
2023-03-14,88.0730092103716,0,P010,11.42,38.73
2023-04-12,135.63257293372286,0,P001,12.43,67.01
2024-08-04,117.72472525400089,0,P010,11.25,399.06
2024-09-10,105.94116302289477,0,P001,12.46,202.76
2024-08-21,168.99061970943814,0,P007,8.26,307.82
2023-11-26,105.76550221278113,0,P006,37.07,142.16
2024-01-13,114.68549361738452,0,P006,37.27,5.14
2023-04-08,78.13685336331356,0,P008,43.29,11.96
2023-04-11,142.01473817365445,0,P007,8.24,79.1
2023-07-17,124.25791412006842,0,P004,27.78,471.33
2024-05-11,161.67849384730926,0,P009,11.3,48.57
2024-09-26,90.9779616778253,0,P008,43.08,347.26
2024-07-17,91.9288581937693,0,P010,11.44,639.38
2024-10-28,68.30710968333372,0,P002,17.97,609.24
2024-10-10,85.07584616961829,0,P008,43.41,158.13
2023-03-24,76.51757721504572,0,P005,31.79,89.05
2023-09-25,86.00053503937693,0,P008,43.36,155.82
2024-11-24,88.86302631920178,0,P006,36.58,158.29
2023-03-08,166.07123135017412,0,P003,19.76,508.3
2024-08-10,81.71869894171401,0,P010,11.23,33.87
2023-09-05,93.41610896659738,0,P008,42.32,297.16
2023-06-04,181.90333707981975,0,P003,19.66,356.6
2024-03-09,206.33444015551729,0,P003,19.69,571.78
2023-10-26,117.29467601156036,0,P004,28.1,258.84
2023-07-25,55.39498177997759,0,P002,18.19,138.29
2023-05-01,155.23118214356379,37,P006,37.73,28.94
2024-12-25,175.2614039402308,0,P007,8.24,828.97
2023-08-22,82.07851489799616,0,P005,31.51,431.07
2023-01-18,94.12876815301408,0,P008,43.09,386.9
2024-05-22,101.38325902934142,0,P004,28.61,639.77
2023-03-16,193.84900243668292,0,P003,19.96,521.51
2024-01-01,47.68859600109762,0,P002,17.92,409.14
2024-05-05,194.1609254797626,0,P003,20.05,435.5
2024-02-05,127.24635929212168,0,P004,28.16,237.13
2024-05-01,88.640768986517,0,P010,11.36,520.4
2023-03-09,154.45015991586894,0,P007,8.24,380.9
2023-07-27,77.13077988599358,0,P010,11.11,892.77
2023-11-06,156.7713095762514,0,P007,8.23,599.13
2023-05-07,162.35941079503775,0,P009,11.16,48.46
2024-04-19,203.0878746074924,0,P003,20.06,34.03
2024-04-30,197.17938938396497,0,P009,11.53,26.02
2024-06-30,175.51369149977123,0,P009,11.36,29.69
2023-02-27,170.9959651874921,0,P007,8.17,432.08
2024-10-07,70.37559929836601,0,P002,18.06,627.01
2024-04-30,121.86162394776773,0,P004,28.48,694.1
2023-09-29,96.06167543668572,0,P008,43.01,487.09
2023-02-05,37.980221420672905,0,P002,18.03,679.41
2023-11-11,44.2531939247028,0,P002,17.83,283.11
2024-04-30,147.52908055918087,0,P001,12.64,193.55
2023-01-15,135.76234577311055,0,P001,12.59,6.57
2023-11-21,104.24992328451435,0,P008,43.56,168.03
2023-10-29,79.48213976881566,0,P005,31.71,310.89
2024-07-07,81.29568280397488,0,P005,31.32,719.52
2023-03-29,179.52083883236182,0,P009,11.37,91.84
2024-05-26,114.86390636407755,0,P008,43.16,208.32
2023-03-06,129.47531723867397,0,P001,12.58,13.04
2023-04-17,95.39629073928873,0,P008,43.2,144.94
2023-11-11,101.02410413448693,0,P006,37.07,25.16
2024-04-24,105.78745755911696,0,P006,37.16,95.48
2024-09-13,183.49931878035122,0,P009,11.15,116.95
2023-08-20,122.44272174345059,0,P004,28.29,413.78
2023-12-21,174.14980239535421,0,P007,8.15,527.89
2024-02-05,98.44524522984123,0,P010,11.18,385.26
2023-03-02,132.42153147548046,12,P001,12.6,109.53
2023-09-17,145.66386638259183,0,P007,8.1,591.46
2024-07-19,84.82424403884134,0,P010,11.05,492.51
2023-03-22,106.83063529720597,0,P008,44.16,323.8
2024-02-10,209.36335122962825,0,P003,19.49,573.11
2024-10-06,92.22971978134576,0,P010,11.34,74.35
2023-11-24,122.4335730599623,0,P004,27.72,313.33
2024-09-03,109.97695585316097,0,P008,42.53,126.56
2023-04-28,133.52538608598817,0,P007,8.22,192.41
2023-06-17,80.55816176310088,0,P005,32.23,262.76
2024-09-25,63.78836065017787,0,P002,18.01,783.75
2023-01-06,78.78336851326613,0,P010,11.21,874.09
2023-09-16,88.68020857652267,0,P006,37.61,133.34
2023-06-19,163.39424925200956,0,P001,12.67,77.59
2024-04-19,81.84075230794785,0,P005,32.06,195.93
2024-05-24,108.84457209077574,0,P004,28.15,528.04
2023-11-11,181.836809861445,0,P003,19.96,572.08
2023-09-12,48.224269210675516,0,P002,17.7,480.38
2024-08-10,140.99572504866737,0,P001,12.44,92.4
2024-01-28,141.013460122881,0,P001,12.64,202.76
2023-11-03,145.7086914627787,0,P007,8.21,233.44
2023-07-20,166.00848575334012,0,P003,19.82,188.83
2024-10-19,91.32638197136878,0,P005,31.44,224.25
2024-11-12,143.59825928836557,0,P001,12.74,162.33
2024-03-12,149.64251527413904,0,P001,12.85,176.67
2024-01-26,80.31141303692037,0,P005,31.76,353.24
2023-12-08,69.82389024651503,0,P008,42.88,21.7
2024-11-17,97.91641199414467,0,P005,31.83,40.45
2024-05-29,111.40167250954073,0,P006,37.14,121.8
2024-04-21,154.21313464075544,0,P007,8.3,274.81
2023-04-29,151.94117717884643,0,P001,12.76,129.05
2023-02-06,43.246558916082776,0,P002,17.9,863.06
2024-06-26,170.6767362896832,0,P007,8.18,53.29
2023-02-04,75.2841906263562,0,P010,11.1,639.04
2024-12-18,153.60313397328946,0,P001,12.52,106.06
2024-03-23,87.09333969980113,0,P005,31.58,200.73
2023-02-24,73.40217281337485,0,P008,42.24,223.33
2023-08-31,99.7060582206832,0,P008,42.78,501.96
2024-03-22,106.4275025849746,0,P008,43.14,231.48
2024-12-16,116.93263872625434,0,P010,11.35,826.57
2024-06-24,99.85009291603696,30,P002,17.8,418.8
2024-11-27,100.13294550053793,0,P006,37.62,28.59
2024-10-09,114.37639313814785,0,P010,11.17,827.5
2024-06-03,215.54180644542026,0,P003,20.2,182.74
2024-12-17,159.8926434493179,0,P001,12.87,124.68
2023-01-12,76.25359672719162,0,P005,31.88,822.83
2023-11-04,90.08130186100594,0,P006,36.9,2.6
2024-07-24,90.83605673995864,0,P005,31.0,215.36
2024-12-29,88.11806539287893,0,P005,31.81,851.97
2024-07-23,167.03566574577673,0,P007,8.13,275.54
2024-09-25,103.42141288802749,0,P006,37.57,156.76
2023-02-22,108.44434955305692,0,P006,37.42,159.22
2024-11-26,192.23798626906552,0,P007,8.08,269.59
2023-12-30,159.81082163345727,0,P007,8.19,191.16
2024-05-19,95.861782787055,0,P006,37.33,18.05
2023-10-24,175.9349750320241,0,P003,19.98,392.24
2023-05-01,72.46106615759598,15,P005,31.89,927.77
2024-09-29,96.60257044476778,0,P006,37.21,38.84
2024-06-23,124.60519729778248,0,P004,28.36,291.69
2023-02-15,148.89934422083468,0,P007,8.19,469.92
2024-01-31,107.3931645799968,0,P008,42.57,414.84
2023-05-25,121.44507941336923,0,P001,12.41,50.9
2024-07-16,98.5486196785468,0,P006,36.91,126.79
2023-12-14,91.52407786531634,0,P005,31.29,869.46
2024-07-26,177.8784102718979,0,P009,11.37,51.45
